# hist bins, signal, signal 2x2 cl, signal 3x3 cl
-2.000000000000000000e+02,2.800000000000000000e+01,5.035400000000000000e+04,4.909300000000000000e+04
-1.990000000000000000e+02,3.200000000000000000e+01,5.127600000000000000e+04,4.961700000000000000e+04
-1.980000000000000000e+02,3.300000000000000000e+01,5.268600000000000000e+04,4.921100000000000000e+04
-1.970000000000000000e+02,3.000000000000000000e+01,5.375500000000000000e+04,4.966200000000000000e+04
-1.960000000000000000e+02,3.400000000000000000e+01,5.438700000000000000e+04,5.004700000000000000e+04
-1.950000000000000000e+02,4.400000000000000000e+01,5.639400000000000000e+04,5.043800000000000000e+04
-1.940000000000000000e+02,4.100000000000000000e+01,5.762300000000000000e+04,5.038800000000000000e+04
-1.930000000000000000e+02,4.800000000000000000e+01,5.845700000000000000e+04,5.070600000000000000e+04
-1.920000000000000000e+02,5.700000000000000000e+01,5.939700000000000000e+04,5.127400000000000000e+04
-1.910000000000000000e+02,5.500000000000000000e+01,6.094600000000000000e+04,5.169800000000000000e+04
-1.900000000000000000e+02,4.400000000000000000e+01,6.277900000000000000e+04,5.110200000000000000e+04
-1.890000000000000000e+02,7.000000000000000000e+01,6.367700000000000000e+04,5.180700000000000000e+04
-1.880000000000000000e+02,6.400000000000000000e+01,6.484800000000000000e+04,5.180300000000000000e+04
-1.870000000000000000e+02,6.500000000000000000e+01,6.638700000000000000e+04,5.240500000000000000e+04
-1.860000000000000000e+02,7.900000000000000000e+01,6.719900000000000000e+04,5.227600000000000000e+04
-1.850000000000000000e+02,7.500000000000000000e+01,6.833000000000000000e+04,5.239600000000000000e+04
-1.840000000000000000e+02,9.800000000000000000e+01,7.015300000000000000e+04,5.286400000000000000e+04
-1.830000000000000000e+02,1.100000000000000000e+02,7.181900000000000000e+04,5.296400000000000000e+04
-1.820000000000000000e+02,1.020000000000000000e+02,7.299000000000000000e+04,5.347000000000000000e+04
-1.810000000000000000e+02,1.400000000000000000e+02,7.434900000000000000e+04,5.355000000000000000e+04
-1.800000000000000000e+02,1.320000000000000000e+02,7.553600000000000000e+04,5.355300000000000000e+04
-1.790000000000000000e+02,1.570000000000000000e+02,7.693100000000000000e+04,5.417400000000000000e+04
-1.780000000000000000e+02,1.940000000000000000e+02,7.921400000000000000e+04,5.444900000000000000e+04
-1.770000000000000000e+02,1.890000000000000000e+02,7.992000000000000000e+04,5.454600000000000000e+04
-1.760000000000000000e+02,2.300000000000000000e+02,8.133000000000000000e+04,5.510100000000000000e+04
-1.750000000000000000e+02,2.670000000000000000e+02,8.302800000000000000e+04,5.492600000000000000e+04
-1.740000000000000000e+02,3.150000000000000000e+02,8.465000000000000000e+04,5.567200000000000000e+04
-1.730000000000000000e+02,2.980000000000000000e+02,8.605200000000000000e+04,5.557900000000000000e+04
-1.720000000000000000e+02,3.680000000000000000e+02,8.746800000000000000e+04,5.579100000000000000e+04
-1.710000000000000000e+02,4.190000000000000000e+02,8.947100000000000000e+04,5.635700000000000000e+04
-1.700000000000000000e+02,4.990000000000000000e+02,9.026200000000000000e+04,5.617400000000000000e+04
-1.690000000000000000e+02,5.100000000000000000e+02,9.246200000000000000e+04,5.609900000000000000e+04
-1.680000000000000000e+02,5.430000000000000000e+02,9.385200000000000000e+04,5.681500000000000000e+04
-1.670000000000000000e+02,6.780000000000000000e+02,9.622700000000000000e+04,5.711500000000000000e+04
-1.660000000000000000e+02,8.180000000000000000e+02,9.723300000000000000e+04,5.714800000000000000e+04
-1.650000000000000000e+02,8.600000000000000000e+02,9.912500000000000000e+04,5.725400000000000000e+04
-1.640000000000000000e+02,9.880000000000000000e+02,1.006760000000000000e+05,5.753800000000000000e+04
-1.630000000000000000e+02,1.142000000000000000e+03,1.017760000000000000e+05,5.744900000000000000e+04
-1.620000000000000000e+02,1.288000000000000000e+03,1.038160000000000000e+05,5.795400000000000000e+04
-1.610000000000000000e+02,1.524000000000000000e+03,1.059450000000000000e+05,5.828000000000000000e+04
-1.600000000000000000e+02,1.672000000000000000e+03,1.073850000000000000e+05,5.862400000000000000e+04
-1.590000000000000000e+02,1.915000000000000000e+03,1.098070000000000000e+05,5.891600000000000000e+04
-1.580000000000000000e+02,2.238000000000000000e+03,1.107370000000000000e+05,5.883100000000000000e+04
-1.570000000000000000e+02,2.498000000000000000e+03,1.126530000000000000e+05,5.950500000000000000e+04
-1.560000000000000000e+02,3.011000000000000000e+03,1.136440000000000000e+05,5.947100000000000000e+04
-1.550000000000000000e+02,3.371000000000000000e+03,1.166220000000000000e+05,6.022200000000000000e+04
-1.540000000000000000e+02,3.783000000000000000e+03,1.180830000000000000e+05,5.980600000000000000e+04
-1.530000000000000000e+02,4.395000000000000000e+03,1.202990000000000000e+05,5.991300000000000000e+04
-1.520000000000000000e+02,5.078000000000000000e+03,1.222590000000000000e+05,6.062700000000000000e+04
-1.510000000000000000e+02,5.717000000000000000e+03,1.238680000000000000e+05,6.089400000000000000e+04
-1.500000000000000000e+02,6.545000000000000000e+03,1.263770000000000000e+05,6.102200000000000000e+04
-1.490000000000000000e+02,7.629000000000000000e+03,1.276710000000000000e+05,6.092900000000000000e+04
-1.480000000000000000e+02,8.710000000000000000e+03,1.295490000000000000e+05,6.175900000000000000e+04
-1.470000000000000000e+02,9.900000000000000000e+03,1.313750000000000000e+05,6.208500000000000000e+04
-1.460000000000000000e+02,1.143400000000000000e+04,1.330730000000000000e+05,6.153400000000000000e+04
-1.450000000000000000e+02,1.321900000000000000e+04,1.354580000000000000e+05,6.220800000000000000e+04
-1.440000000000000000e+02,1.497700000000000000e+04,1.369230000000000000e+05,6.202200000000000000e+04
-1.430000000000000000e+02,1.743200000000000000e+04,1.389010000000000000e+05,6.238200000000000000e+04
-1.420000000000000000e+02,1.963500000000000000e+04,1.417010000000000000e+05,6.285700000000000000e+04
-1.410000000000000000e+02,2.246600000000000000e+04,1.430300000000000000e+05,6.332600000000000000e+04
-1.400000000000000000e+02,2.571700000000000000e+04,1.453370000000000000e+05,6.309400000000000000e+04
-1.390000000000000000e+02,2.909800000000000000e+04,1.478070000000000000e+05,6.376500000000000000e+04
-1.380000000000000000e+02,3.352400000000000000e+04,1.491540000000000000e+05,6.370700000000000000e+04
-1.370000000000000000e+02,3.777000000000000000e+04,1.516080000000000000e+05,6.457400000000000000e+04
-1.360000000000000000e+02,4.317600000000000000e+04,1.534540000000000000e+05,6.441300000000000000e+04
-1.350000000000000000e+02,4.889400000000000000e+04,1.551840000000000000e+05,6.430600000000000000e+04
-1.340000000000000000e+02,5.562800000000000000e+04,1.578390000000000000e+05,6.497000000000000000e+04
-1.330000000000000000e+02,6.311300000000000000e+04,1.600070000000000000e+05,6.470600000000000000e+04
-1.320000000000000000e+02,7.217900000000000000e+04,1.623850000000000000e+05,6.525000000000000000e+04
-1.310000000000000000e+02,8.067900000000000000e+04,1.636090000000000000e+05,6.547000000000000000e+04
-1.300000000000000000e+02,9.066200000000000000e+04,1.677000000000000000e+05,6.564900000000000000e+04
-1.290000000000000000e+02,1.023180000000000000e+05,1.693280000000000000e+05,6.559600000000000000e+04
-1.280000000000000000e+02,1.143440000000000000e+05,1.707520000000000000e+05,6.593700000000000000e+04
-1.270000000000000000e+02,1.293520000000000000e+05,1.727660000000000000e+05,6.664300000000000000e+04
-1.260000000000000000e+02,1.451380000000000000e+05,1.760340000000000000e+05,6.696400000000000000e+04
-1.250000000000000000e+02,1.607660000000000000e+05,1.780720000000000000e+05,6.745900000000000000e+04
-1.240000000000000000e+02,1.808950000000000000e+05,1.804690000000000000e+05,6.757700000000000000e+04
-1.230000000000000000e+02,2.015270000000000000e+05,1.826570000000000000e+05,6.770400000000000000e+04
-1.220000000000000000e+02,2.256890000000000000e+05,1.840680000000000000e+05,6.772200000000000000e+04
-1.210000000000000000e+02,2.502750000000000000e+05,1.875480000000000000e+05,6.823800000000000000e+04
-1.200000000000000000e+02,2.783430000000000000e+05,1.903170000000000000e+05,6.799900000000000000e+04
-1.190000000000000000e+02,3.091650000000000000e+05,1.920420000000000000e+05,6.849100000000000000e+04
-1.180000000000000000e+02,3.435530000000000000e+05,1.935830000000000000e+05,6.869700000000000000e+04
-1.170000000000000000e+02,3.787770000000000000e+05,1.967290000000000000e+05,6.907600000000000000e+04
-1.160000000000000000e+02,4.183750000000000000e+05,1.984430000000000000e+05,6.933500000000000000e+04
-1.150000000000000000e+02,4.616870000000000000e+05,2.020810000000000000e+05,6.909800000000000000e+04
-1.140000000000000000e+02,5.066880000000000000e+05,2.039450000000000000e+05,6.949700000000000000e+04
-1.130000000000000000e+02,5.549370000000000000e+05,2.072770000000000000e+05,6.954400000000000000e+04
-1.120000000000000000e+02,6.088360000000000000e+05,2.086500000000000000e+05,6.968800000000000000e+04
-1.110000000000000000e+02,6.667710000000000000e+05,2.120070000000000000e+05,7.044700000000000000e+04
-1.100000000000000000e+02,7.309790000000000000e+05,2.140910000000000000e+05,7.046400000000000000e+04
-1.090000000000000000e+02,7.979670000000000000e+05,2.153730000000000000e+05,7.043700000000000000e+04
-1.080000000000000000e+02,8.672410000000000000e+05,2.185990000000000000e+05,7.096400000000000000e+04
-1.070000000000000000e+02,9.414680000000000000e+05,2.203150000000000000e+05,7.100500000000000000e+04
-1.060000000000000000e+02,1.021768000000000000e+06,2.230400000000000000e+05,7.107600000000000000e+04
-1.050000000000000000e+02,1.112803000000000000e+06,2.261150000000000000e+05,7.176000000000000000e+04
-1.040000000000000000e+02,1.204566000000000000e+06,2.291600000000000000e+05,7.190500000000000000e+04
-1.030000000000000000e+02,1.299664000000000000e+06,2.313850000000000000e+05,7.186700000000000000e+04
-1.020000000000000000e+02,1.402320000000000000e+06,2.337300000000000000e+05,7.251400000000000000e+04
-1.010000000000000000e+02,1.505496000000000000e+06,2.375240000000000000e+05,7.328200000000000000e+04
-1.000000000000000000e+02,1.623851000000000000e+06,2.395690000000000000e+05,7.315700000000000000e+04
-9.900000000000000000e+01,1.742398000000000000e+06,2.417020000000000000e+05,7.330300000000000000e+04
-9.800000000000000000e+01,1.867918000000000000e+06,2.446120000000000000e+05,7.320600000000000000e+04
-9.700000000000000000e+01,2.000897000000000000e+06,2.462590000000000000e+05,7.306100000000000000e+04
