# hist bins, signal, signal 2x2 cl, signal 3x3 cl
-2.000000000000000000e+02,2.400000000000000000e+01,4.145500000000000000e+04,4.551500000000000000e+04
-1.990000000000000000e+02,2.700000000000000000e+01,4.263900000000000000e+04,4.608300000000000000e+04
-1.980000000000000000e+02,3.700000000000000000e+01,4.360200000000000000e+04,4.675000000000000000e+04
-1.970000000000000000e+02,4.300000000000000000e+01,4.463400000000000000e+04,4.653500000000000000e+04
-1.960000000000000000e+02,5.000000000000000000e+01,4.532900000000000000e+04,4.706000000000000000e+04
-1.950000000000000000e+02,3.700000000000000000e+01,4.644500000000000000e+04,4.706500000000000000e+04
-1.940000000000000000e+02,4.200000000000000000e+01,4.750100000000000000e+04,4.701200000000000000e+04
-1.930000000000000000e+02,4.800000000000000000e+01,4.888600000000000000e+04,4.755500000000000000e+04
-1.920000000000000000e+02,4.000000000000000000e+01,5.001200000000000000e+04,4.779600000000000000e+04
-1.910000000000000000e+02,5.900000000000000000e+01,5.073100000000000000e+04,4.800800000000000000e+04
-1.900000000000000000e+02,4.600000000000000000e+01,5.207300000000000000e+04,4.812200000000000000e+04
-1.890000000000000000e+02,5.900000000000000000e+01,5.340700000000000000e+04,4.821300000000000000e+04
-1.880000000000000000e+02,6.300000000000000000e+01,5.470000000000000000e+04,4.859100000000000000e+04
-1.870000000000000000e+02,7.500000000000000000e+01,5.561700000000000000e+04,4.873400000000000000e+04
-1.860000000000000000e+02,5.900000000000000000e+01,5.715300000000000000e+04,4.934200000000000000e+04
-1.850000000000000000e+02,5.800000000000000000e+01,5.799900000000000000e+04,4.948400000000000000e+04
-1.840000000000000000e+02,7.200000000000000000e+01,5.941000000000000000e+04,4.948700000000000000e+04
-1.830000000000000000e+02,6.900000000000000000e+01,6.065700000000000000e+04,4.999600000000000000e+04
-1.820000000000000000e+02,9.100000000000000000e+01,6.185800000000000000e+04,5.017500000000000000e+04
-1.810000000000000000e+02,1.250000000000000000e+02,6.335500000000000000e+04,5.040600000000000000e+04
-1.800000000000000000e+02,1.080000000000000000e+02,6.440800000000000000e+04,5.044700000000000000e+04
-1.790000000000000000e+02,1.070000000000000000e+02,6.556400000000000000e+04,5.094000000000000000e+04
-1.780000000000000000e+02,1.430000000000000000e+02,6.708900000000000000e+04,5.107800000000000000e+04
-1.770000000000000000e+02,1.780000000000000000e+02,6.825100000000000000e+04,5.144700000000000000e+04
-1.760000000000000000e+02,2.080000000000000000e+02,7.006800000000000000e+04,5.137000000000000000e+04
-1.750000000000000000e+02,2.010000000000000000e+02,7.123000000000000000e+04,5.165900000000000000e+04
-1.740000000000000000e+02,2.680000000000000000e+02,7.246800000000000000e+04,5.179400000000000000e+04
-1.730000000000000000e+02,2.360000000000000000e+02,7.414800000000000000e+04,5.222300000000000000e+04
-1.720000000000000000e+02,3.050000000000000000e+02,7.540000000000000000e+04,5.222300000000000000e+04
-1.710000000000000000e+02,3.000000000000000000e+02,7.662900000000000000e+04,5.311400000000000000e+04
-1.700000000000000000e+02,3.920000000000000000e+02,7.827000000000000000e+04,5.288000000000000000e+04
-1.690000000000000000e+02,4.290000000000000000e+02,7.932900000000000000e+04,5.366500000000000000e+04
-1.680000000000000000e+02,5.110000000000000000e+02,8.137400000000000000e+04,5.349700000000000000e+04
-1.670000000000000000e+02,5.320000000000000000e+02,8.336800000000000000e+04,5.388300000000000000e+04
-1.660000000000000000e+02,6.240000000000000000e+02,8.432900000000000000e+04,5.423700000000000000e+04
-1.650000000000000000e+02,6.830000000000000000e+02,8.587200000000000000e+04,5.370200000000000000e+04
-1.640000000000000000e+02,7.850000000000000000e+02,8.743800000000000000e+04,5.461400000000000000e+04
-1.630000000000000000e+02,8.980000000000000000e+02,8.923600000000000000e+04,5.474300000000000000e+04
-1.620000000000000000e+02,1.031000000000000000e+03,9.104000000000000000e+04,5.499500000000000000e+04
-1.610000000000000000e+02,1.141000000000000000e+03,9.184100000000000000e+04,5.535300000000000000e+04
-1.600000000000000000e+02,1.258000000000000000e+03,9.338000000000000000e+04,5.558800000000000000e+04
-1.590000000000000000e+02,1.530000000000000000e+03,9.514600000000000000e+04,5.548000000000000000e+04
-1.580000000000000000e+02,1.788000000000000000e+03,9.724800000000000000e+04,5.605500000000000000e+04
