# threshold in adu, quantum efficency (thresholded photons devided by adu/180 (analog photons)), thresholded photons in noise data
5.000000000000000000e+01,6.471343331616107086e+00,9.427999999999998881e-03
5.500000000000000000e+01,4.785491965043165763e+00,5.427194444444444557e-03
6.000000000000000000e+01,3.662442236144680230e+00,3.109111111111111103e-03
6.500000000000000000e+01,2.903893023427370323e+00,1.789194444444444382e-03
7.000000000000000000e+01,2.366845725667235723e+00,1.026583333333333341e-03
7.500000000000000000e+01,1.999645746095607413e+00,5.909166666666666734e-04
8.000000000000000000e+01,1.724008646389346255e+00,3.368888888888889582e-04
8.500000000000000000e+01,1.506665364222868675e+00,1.899722222222222350e-04
9.000000000000000000e+01,1.315806006670836137e+00,1.071666666666666650e-04
9.500000000000000000e+01,1.163979430575354579e+00,6.066666666666666632e-05
1.000000000000000000e+02,1.020105327711207766e+00,3.399999999999999973e-05
1.050000000000000000e+02,8.884882478091179481e-01,1.791666666666666397e-05
1.100000000000000000e+02,7.730679482497465616e-01,1.047222222222222059e-05
1.150000000000000000e+02,6.638491186414160472e-01,6.027777777777778134e-06
1.200000000000000000e+02,5.658658934149711772e-01,3.722222222222222113e-06
1.250000000000000000e+02,4.751055567197385865e-01,2.416666666666666681e-06
1.300000000000000000e+02,3.964563260465386318e-01,1.861111111111111056e-06
1.350000000000000000e+02,3.234248975642814994e-01,1.277777777777777661e-06
1.400000000000000000e+02,2.607535718237631306e-01,9.722222222222223959e-07
1.450000000000000000e+02,2.082964318849590823e-01,8.055555555555555603e-07
1.500000000000000000e+02,1.664182700979305318e-01,6.666666666666667071e-07
1.550000000000000000e+02,1.336599170624326038e-01,6.111111111111111658e-07
1.600000000000000000e+02,1.050601968176326090e-01,4.999999999999999774e-07
