# number of Gd/Fe layers, transmission, polarisation
1.000000000000000000e+00,9.061296158479217322e-01,-1.498805601940071328e-02
2.000000000000000000e+00,8.737727091826565928e-01,-2.998166440631985785e-02
3.000000000000000000e+00,8.427680364596239482e-01,-4.495930396173981880e-02
4.000000000000000000e+00,8.130527785659154016e-01,-5.990874655111175923e-02
5.000000000000000000e+00,7.845471364146360260e-01,-7.484276413100156289e-02
6.000000000000000000e+00,7.572203344519038426e-01,-8.973727761499521172e-02
7.000000000000000000e+00,7.310086034839601288e-01,-1.045885972959030991e-01
8.000000000000000000e+00,7.058525340099542911e-01,-1.194023221562791615e-01
9.000000000000000000e+00,6.817229856692494927e-01,-1.341556728793238951e-01
1.000000000000000000e+01,6.585599739774314898e-01,-1.488504282417279501e-01
1.100000000000000000e+01,6.363200109852120701e-01,-1.634854919148473196e-01
1.200000000000000000e+01,6.149733111726675139e-01,-1.780418405055327613e-01
1.300000000000000000e+01,5.944667782146362267e-01,-1.925237443940470417e-01
1.400000000000000000e+01,5.747682401658504858e-01,-2.069249938957324342e-01
1.500000000000000000e+01,5.558469696885164346e-01,-2.212313746584026741e-01
1.600000000000000000e+01,5.376582139227354951e-01,-2.354473087623741023e-01
1.700000000000000000e+01,5.201771293842604171e-01,-2.495635103693589207e-01
1.800000000000000000e+01,5.033728415611008478e-01,-2.635705003013668613e-01
1.900000000000000000e+01,4.872090488092358229e-01,-2.774713893773266271e-01
2.000000000000000000e+01,4.716652113448918660e-01,-2.912557754646591945e-01
2.100000000000000000e+01,4.567115031053127217e-01,-3.049181229066662557e-01
2.200000000000000000e+01,4.423192587656696873e-01,-3.184596263176576181e-01
2.300000000000000000e+01,4.284702300506614270e-01,-3.318703086525680579e-01
2.400000000000000000e+01,4.151367769148582854e-01,-3.451474812866514030e-01
2.500000000000000000e+01,4.022965539654019262e-01,-3.582904859809777354e-01
2.600000000000000000e+01,3.899324750580330790e-01,-3.712907536846464240e-01
2.700000000000000000e+01,3.780199149210961007e-01,-3.841473687296715345e-01
2.800000000000000000e+01,3.665413771303608348e-01,-3.968582892507655502e-01
2.900000000000000000e+01,3.554804768851144714e-01,-4.094168017449318908e-01
3.000000000000000000e+01,3.448160338297854288e-01,-4.218229121187226371e-01
3.100000000000000000e+01,3.345340204052711930e-01,-4.340738173271297962e-01
3.200000000000000000e+01,3.246187300739232784e-01,-4.461646957859110585e-01
3.300000000000000000e+01,3.150524774335318190e-01,-4.580959208548507355e-01
3.400000000000000000e+01,3.058235593531030139e-01,-4.698645137039785258e-01
3.500000000000000000e+01,2.969171563821205728e-01,-4.814673310971174236e-01
3.600000000000000000e+01,2.883188277597605875e-01,-4.929048355779805379e-01
3.700000000000000000e+01,2.800183463447274423e-01,-5.041743131119750254e-01
3.800000000000000000e+01,2.720020604995143088e-01,-5.152739834141149000e-01
3.900000000000000000e+01,2.642583277496918237e-01,-5.262043201287914806e-01
4.000000000000000000e+01,2.567778425777717533e-01,-5.369631381852583152e-01
4.100000000000000000e+01,2.495483653683830960e-01,-5.475497089349543600e-01
4.200000000000000000e+01,2.425605129389420411e-01,-5.579645489125968361e-01
4.300000000000000000e+01,2.358055993565308095e-01,-5.682061120474087845e-01
4.400000000000000000e+01,2.292729442655692118e-01,-5.782744696173309773e-01
4.500000000000000000e+01,2.229548792103397958e-01,-5.881702462922503427e-01
4.600000000000000000e+01,2.168432260647433774e-01,-5.978925398118669632e-01
4.700000000000000000e+01,2.109288928127304730e-01,-6.074420418318249304e-01
4.800000000000000000e+01,2.052054388615853486e-01,-6.168195355854766415e-01
4.900000000000000000e+01,1.996652052187277704e-01,-6.260247140745189842e-01
5.000000000000000000e+01,1.943006065019745321e-01,-6.350587671342805551e-01
5.100000000000000000e+01,1.891060386463670473e-01,-6.439226534619655329e-01
5.200000000000000000e+01,1.840744346905573425e-01,-6.526165989045015214e-01
5.300000000000000000e+01,1.791995486045704078e-01,-6.611422012707082185e-01
5.400000000000000000e+01,1.744763316872465220e-01,-6.695005817509132040e-01
5.500000000000000000e+01,1.698983941152888977e-01,-6.776924438637026427e-01
5.600000000000000000e+01,1.654606098827547944e-01,-6.857197124189176041e-01
5.700000000000000000e+01,1.611583107100860446e-01,-6.935836434884860013e-01
5.800000000000000000e+01,1.569858470376034876e-01,-7.012853746364320351e-01
5.900000000000000000e+01,1.529389757211354617e-01,-7.088270730090769911e-01
6.000000000000000000e+01,1.490133233195272688e-01,-7.162101039490289534e-01
6.100000000000000000e+01,1.452040028481411671e-01,-7.234360004875328709e-01
6.200000000000000000e+01,1.415074284633772439e-01,-7.305070820592405312e-01
6.300000000000000000e+01,1.379195013624876509e-01,-7.374248108142990032e-01
6.400000000000000000e+01,1.344360732989791640e-01,-7.441910716016600924e-01
6.500000000000000000e+01,1.310540231659473032e-01,-7.508082474517776550e-01
6.600000000000000000e+01,1.277695460982231912e-01,-7.572779008781602705e-01
6.700000000000000000e+01,1.245791676226801342e-01,-7.636022119737918556e-01
6.800000000000000000e+01,1.214800839067796401e-01,-7.697835504152638064e-01
6.900000000000000000e+01,1.184688191539563507e-01,-7.758235940512006046e-01
7.000000000000000000e+01,1.155424782260095068e-01,-7.817247464163178394e-01
7.100000000000000000e+01,1.126984754202485228e-01,-7.874893079455361766e-01
7.200000000000000000e+01,1.099336963053750699e-01,-7.931190891714688940e-01
7.300000000000000000e+01,1.072457157711335790e-01,-7.986166337878551902e-01
7.400000000000000000e+01,1.046321113489799837e-01,-8.039841431468240929e-01
7.500000000000000000e+01,1.020901471637314650e-01,-8.092235704503234484e-01
7.600000000000000000e+01,9.961775834787620076e-02,-8.143375129602126172e-01
7.700000000000000000e+01,9.721266596265748516e-02,-8.193280685531327823e-01
7.800000000000000000e+01,9.487250903223226617e-02,-8.241973284388899312e-01
7.900000000000000000e+01,9.259548450942937936e-02,-8.289478634217213315e-01
8.000000000000000000e+01,9.037946093014692650e-02,-8.335816833971479989e-01
8.100000000000000000e+01,8.822242764665962078e-02,-8.381009952829781007e-01
8.200000000000000000e+01,8.612276429917592457e-02,-8.425082787644655458e-01
8.300000000000000000e+01,8.407850276439116088e-02,-8.468054824920266954e-01
8.400000000000000000e+01,8.208794134957093924e-02,-8.509948907725777278e-01
