# saved on 06.03.2022 by lrlunin
#  exported data from ptb bessy evaluation on 08102020
#  photon energy [eV], response [ADU/photon]
3.000000000000000000e+01,8.325099999999999723e-01
3.500000000000000000e+01,1.132100000000000106e+00
4.000000000000000000e+01,1.352700000000000014e+00
4.500000000000000000e+01,1.709000000000000075e+00
5.000000000000000000e+01,2.387199999999999989e+00
5.500000000000000000e+01,3.039400000000000102e+00
6.000000000000000000e+01,3.823700000000000099e+00
6.500000000000000000e+01,4.179400000000000226e+00
7.000000000000000000e+01,4.350999999999999979e+00
1.000000000000000000e+03,1.285000000000000000e+02
1.150000000000000000e+03,1.560000000000000000e+02
1.300000000000000000e+03,1.830999999999999943e+02
1.450000000000000000e+03,2.076999999999999886e+02
1.600000000000000000e+03,1.451999999999999886e+02
1.750000000000000000e+03,1.823000000000000114e+02
1.900000000000000000e+03,2.006999999999999886e+02
8.500000000000000000e+02,9.984999999999999432e+01
7.800000000000000000e+02,8.596999999999999886e+01
7.000000000000000000e+02,7.175000000000000000e+01
6.000000000000000000e+02,4.953000000000000114e+01
5.500000000000000000e+02,3.925000000000000000e+01
5.350000000000000000e+02,3.596999999999999886e+01
5.000000000000000000e+02,2.925000000000000000e+01
4.000000000000000000e+02,1.143999999999999950e+01
