# saved on 06.03.2022 by lrlunin
#  exported data from ptb bessy evaluation on 08102020
# fit exported with good x finess, check 5. Re-function fit.ipynb for source fit function and coefficients
#  photon energy [eV], fit response [ADU/photon],  fit -> quantum efficiency [%]
3.000000000000000000e+01,9.245818406357960706e-01,2.036008178514452926e-01
3.143956889915319408e+01,9.758749860878269677e-01,2.050562530741235345e-01
3.287913779830638816e+01,1.028444536826750522e+00,2.066407020753600887e-01
3.431870669745958224e+01,1.101722610851547657e+00,2.120785586341694673e-01
3.575827559661277633e+01,1.176366327179375615e+00,2.173308761732433703e-01
3.719784449576597751e+01,1.258846658868944646e+00,2.235684266879938153e-01
3.863741339491916449e+01,1.345722223271095030e+00,2.300926751210674026e-01
4.007698229407236568e+01,1.434770546408255631e+00,2.365063760750640842e-01
4.151655119322555976e+01,1.533773360704359101e+00,2.440592851022770349e-01
4.295612009237875384e+01,1.645118156558655453e+00,2.530040429845353822e-01
4.439568899153194792e+01,1.758768069931109679e+00,2.617117284434894442e-01
4.583525789068514200e+01,1.874621999740372136e+00,2.701901072610105037e-01
4.727482678983833608e+01,1.992908344984706259e+00,2.784920441560356785e-01
4.871439568899153016e+01,2.175311956869257379e+00,2.949983868654214580e-01
5.015396458814473135e+01,2.389176062220548236e+00,3.147011278407684798e-01
5.159353348729791833e+01,2.609006082870163112e+00,3.340682736348039028e-01
5.303310238645111951e+01,2.831948424638099482e+00,3.527716850974389473e-01
5.447267128560430649e+01,3.040240078110980182e+00,3.687097484319244445e-01
5.591224018475750768e+01,3.244059336517571612e+00,3.832986676782181301e-01
5.735180908391070176e+01,3.450584097832172237e+00,3.974668458213143074e-01
5.879137798306389584e+01,3.659546714932543132e+00,4.112151148191616756e-01
6.023094688221708992e+01,3.849257609271819813e+00,4.221946248517195466e-01
6.167051578137028400e+01,4.014870002230011004e+00,4.300800729234841580e-01
6.311008468052347808e+01,4.176918365577423131e+00,4.372327033383183736e-01
6.454965357967667217e+01,4.244496413652630196e+00,4.343978515483789549e-01
6.598922247882987335e+01,4.285981149471557394e+00,4.290744543371999287e-01
6.742879137798306033e+01,4.328852574046628376e+00,4.241142197283168658e-01
6.886836027713626152e+01,4.379885216351167010e+00,4.201442264154954254e-01
7.030792917628946270e+01,4.433951775493267355e+00,4.166218780575692282e-01
7.174749807544264968e+01,4.493463314506587203e+00,4.137422316707879411e-01
