#comment:								
#pole shoe:	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I [A]	H [mT]	hallErr	avgDiff	errDiff	avgSum	errSum	Norm	errNorm
-7.00000	-313.33408	1.26208	0.00011	0.00000	-0.00594	0.00002	-0.18889	0.00000
-6.90000	-309.69484	2.48754	0.00009	0.00025	-0.00574	0.00004	0.51765	0.20986
-6.80000	-305.86532	1.67040	0.00013	0.00008	-0.00582	0.00007	0.25299	0.25978
-6.70000	-302.53429	1.69115	0.00004	0.00013	-0.00586	0.00003	0.08881	0.10030
-6.60000	-298.85321	1.58804	0.00012	0.00007	-0.00591	0.00003	-0.09076	0.11713
-6.50000	-295.88510	1.53210	0.00011	0.00014	-0.00588	0.00003	0.02539	0.10296
-6.40000	-291.81451	1.52212	-0.00000	0.00010	-0.00590	0.00003	-0.05216	0.10938
-6.30000	-287.44630	1.64710	0.00010	0.00017	-0.00592	0.00003	-0.11678	0.16972
-6.20000	-284.93512	1.26906	0.00002	0.00013	-0.00589	0.00003	-0.01095	0.15971
-6.10000	-279.92356	1.21279	0.00017	0.00011	-0.00580	0.00002	0.31065	0.07908
-6.00000	-275.36247	1.32446	0.00002	0.00006	-0.00586	0.00007	0.11236	0.26132
-5.90000	-271.52531	1.32077	0.00004	0.00006	-0.00588	0.00007	0.04136	0.30535
-5.80000	-268.23499	1.69509	0.00009	0.00011	-0.00593	0.00006	-0.16897	0.18899
-5.70000	-263.82226	1.20482	0.00007	0.00010	-0.00587	0.00006	0.07632	0.23029
-5.60000	-259.89729	1.23900	0.00014	0.00011	-0.00590	0.00003	-0.05082	0.07923
-5.50000	-254.98103	1.38410	0.00008	0.00013	-0.00595	0.00004	-0.21387	0.13427
-5.40000	-251.20675	1.23031	0.00003	0.00009	-0.00580	0.00004	0.32480	0.17070
-5.30000	-247.86558	1.39861	0.00016	0.00011	-0.00587	0.00004	0.04835	0.18132
