#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
-7.00000	-312.82778	1.40336	-0.06972	0.00000	0.07446	0.00004	-0.45809	0.00000
-6.90000	-311.02342	1.90924	-0.06887	0.00095	0.07449	0.00003	-0.44123	0.01908
-6.80000	-306.05440	1.92487	-0.06925	0.00038	0.07448	0.00008	-0.44760	0.03399
-6.70000	-303.37294	2.13369	-0.06767	0.00110	0.07456	0.00007	-0.41338	0.02637
-6.60000	-299.35945	1.59781	-0.06817	0.00090	0.07441	0.00003	-0.46270	0.01077
-6.50000	-296.16604	1.75778	-0.06869	0.00052	0.07456	0.00005	-0.42148	0.02807
-6.40000	-292.37325	1.80666	-0.06787	0.00083	0.07445	0.00007	-0.44711	0.03328
-6.30000	-287.44726	1.46365	-0.06657	0.00083	0.07451	0.00004	-0.42096	0.02451
-6.20000	-284.47670	1.64538	-0.06715	0.00101	0.07445	0.00006	-0.44349	0.02967
-6.10000	-280.62228	1.86281	-0.06734	0.00109	0.07445	0.00003	-0.44348	0.01485
-6.00000	-276.42214	1.80036	-0.06774	0.00050	0.07451	0.00006	-0.42884	0.03335
-5.90000	-272.29408	1.52862	-0.06659	0.00095	0.07449	0.00006	-0.42859	0.02219
-5.80000	-268.87251	1.67102	-0.06506	0.00161	0.07440	0.00006	-0.44570	0.01073
-5.70000	-265.24517	1.30667	-0.06615	0.00127	0.07441	0.00005	-0.44807	0.01949
-5.60000	-259.50210	1.50094	-0.06657	0.00052	0.07449	0.00006	-0.42605	0.02523
-5.50000	-255.81327	1.62902	-0.06470	0.00123	0.07448	0.00005	-0.41720	0.02736
-5.40000	-251.45481	1.12248	-0.06518	0.00105	0.07444	0.00004	-0.43287	0.02260
-5.30000	-247.27779	1.57143	-0.06552	0.00104	0.07451	0.00003	-0.41402	0.01041
-5.20000	-244.01967	1.47480	-0.06553	0.00086	0.07447	0.00006	-0.42782	0.03149
-5.10000	-239.72211	1.31295	-0.06475	0.00072	0.07454	0.00003	-0.40147	0.02607
-5.00000	-235.40030	1.20371	-0.06491	0.00127	0.07442	0.00003	-0.43733	0.01767
-4.90000	-231.15488	1.44430	-0.06551	0.00054	0.07455	0.00006	-0.40293	0.02833
-4.80000	-227.16325	1.41968	-0.06453	0.00127	0.07446	0.00005	-0.42239	0.02134
-4.70000	-223.59391	0.89403	-0.06299	0.00099	0.07444	0.00004	-0.41952	0.01564
-4.60000	-217.93436	1.21489	-0.06594	0.00135	0.07450	0.00010	-0.41953	0.02861
-4.50000	-213.24414	1.00580	-0.06290	0.00083	0.07445	0.00002	-0.41520	0.01699
-4.40000	-209.76627	1.01927	-0.06494	0.00126	0.07450	0.00003	-0.41399	0.01623
-4.30000	-205.21148	1.31642	-0.06156	0.00128	0.07442	0.00003	-0.41620	0.01621
-4.20000	-201.49481	1.41122	-0.06033	0.00104	0.07441	0.00005	-0.41172	0.03029
-4.10000	-197.00757	1.15633	-0.06248	0.00047	0.07447	0.00007	-0.40755	0.03228
-4.00000	-192.55957	0.89132	-0.06079	0.00080	0.07446	0.00006	-0.39866	0.02268
-3.90000	-187.54661	1.02809	-0.06157	0.00071	0.07449	0.00007	-0.39406	0.02840
-3.80000	-184.06585	0.95231	-0.06176	0.00091	0.07449	0.00004	-0.39527	0.02392
-3.70000	-179.55614	1.04067	-0.06101	0.00103	0.07457	0.00005	-0.36667	0.01723
